algo,ordem,n,run,time_ns
heap,aleatorio,100,1,165900
heap,aleatorio,100,2,200800
heap,aleatorio,100,3,84800
heap,aleatorio,100,4,38100
heap,aleatorio,100,5,35500
heap,aleatorio,100,6,36400
heap,aleatorio,100,7,38500
heap,aleatorio,100,8,34700
heap,aleatorio,100,9,42600
heap,aleatorio,100,10,36700
heap,aleatorio,1000,1,430100
heap,aleatorio,1000,2,448300
heap,aleatorio,1000,3,322700
heap,aleatorio,1000,4,298800
heap,aleatorio,1000,5,283100
heap,aleatorio,1000,6,293200
heap,aleatorio,1000,7,299100
heap,aleatorio,1000,8,293400
heap,aleatorio,1000,9,294200
heap,aleatorio,1000,10,291200
heap,aleatorio,10000,1,3654800
heap,aleatorio,10000,2,3701900
heap,aleatorio,10000,3,3561800
heap,aleatorio,10000,4,2854900
heap,aleatorio,10000,5,2623100
heap,aleatorio,10000,6,2672300
heap,aleatorio,10000,7,2802600
heap,aleatorio,10000,8,2827500
heap,aleatorio,10000,9,3164600
heap,aleatorio,10000,10,2961700
heap,aleatorio,100000,1,50652900
heap,aleatorio,100000,2,49330300
heap,aleatorio,100000,3,50180500
heap,aleatorio,100000,4,48867200
heap,aleatorio,100000,5,48041500
heap,aleatorio,100000,6,49180300
heap,aleatorio,100000,7,47974300
heap,aleatorio,100000,8,49613900
heap,aleatorio,100000,9,62020900
heap,aleatorio,100000,10,48555000
heap,crescente,100000,1,31040300
heap,crescente,100000,2,31321000
heap,crescente,100000,3,26591600
heap,crescente,100000,4,27053100
heap,crescente,100000,5,38221600
heap,crescente,100000,6,27191000
heap,crescente,100000,7,27502800
heap,crescente,100000,8,41794300
heap,crescente,100000,9,27185800
heap,crescente,100000,10,29196700
heap,decrescente,100000,1,28117700
heap,decrescente,100000,2,28465400
heap,decrescente,100000,3,40972400
heap,decrescente,100000,4,28977800
heap,decrescente,100000,5,30696900
heap,decrescente,100000,6,27310700
heap,decrescente,100000,7,28974900
heap,decrescente,100000,8,36217900
heap,decrescente,100000,9,32247700
heap,decrescente,100000,10,30207800
heap,aleatorio,1000000,1,833644000
heap,aleatorio,1000000,2,809727000
heap,aleatorio,1000000,3,819137200
heap,aleatorio,1000000,4,790453300
heap,aleatorio,1000000,5,790322600
heap,aleatorio,1000000,6,829424400
heap,aleatorio,1000000,7,800296900
heap,aleatorio,1000000,8,842163300
heap,aleatorio,1000000,9,787566200
heap,aleatorio,1000000,10,803100700
